ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Tropical Dry Forest & Woodland,Mexico,NA,NA,NA,NA,0.137,1,0.465,1,0.138,1
Tropical Dry Forest & Woodland,Cayman Islands,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Belize,0.588,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,El Salvador,0.045,1,NA,NA,0.167,1,0.8,1,0.195,1
Tropical Dry Forest & Woodland,Panama,0.363,1,NA,NA,0.266,1,0.448,1,0.315,1
Tropical Dry Forest & Woodland,Cuba,0.962,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Mexico,0.102,1,NA,NA,0.132,1,0.483,1,0.119,1
Tropical Dry Forest & Woodland,Colombia,0.41,1,NA,NA,0.193,1,0.047,1,0.28,1
Tropical Dry Forest & Woodland,Costa Rica,0.277,1,NA,NA,0.25,1,0.707,1,0.257,1
Tropical Dry Forest & Woodland,Honduras,0.363,1,NA,NA,0.19,1,0.77,1,0.272,1
Tropical Dry Forest & Woodland,Jamaica,0.379,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Guatemala,0.216,1,NA,NA,0.241,1,0.748,1,0.374,1
Tropical Dry Forest & Woodland,Nicaragua,0.229,1,NA,NA,0.104,1,0.748,1,0.115,1
Tropical Dry Forest & Woodland,Trinidad and Tobago,0.136,1,NA,NA,0.096,1,NA,NA,0.728,1
Tropical Dry Forest & Woodland,Brazil,0.076,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Grenada,0.134,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Guyana,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Netherlands Antilles,0.446,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Colombia,0.447,1,NA,NA,0.215,1,0.697,1,0.22,1
Tropical Dry Forest & Woodland,Venezuela,0.268,1,NA,NA,0.206,1,0.5,1,0.143,1
Tropical Dry Forest & Woodland,Colombia,NA,NA,NA,NA,0.218,1,0.28,1,0.173,1
Tropical Dry Forest & Woodland,Venezuela,NA,NA,NA,NA,0.166,1,0.447,1,0.154,1
Tropical Dry Forest & Woodland,Ecuador,NA,NA,NA,NA,0.219,1,0.542,1,0.279,1
Tropical Dry Forest & Woodland,Peru,NA,NA,NA,NA,0.186,1,0.508,1,0.185,1
Tropical Dry Forest & Woodland,Colombia,NA,NA,NA,NA,0.25,1,0.602,1,0.5,1
Tropical Dry Forest & Woodland,Brazil,NA,NA,NA,NA,0.064,1,0.027,1,0.059,1
Tropical Dry Forest & Woodland,French Guiana,NA,NA,NA,NA,0.025,1,0.085,1,0.025,1
Tropical Dry Forest & Woodland,Venezuela,NA,NA,NA,NA,0.022,1,0.002,1,0.024,1
Tropical Dry Forest & Woodland,Guyana,NA,NA,NA,NA,0.004,1,0.099,1,0.041,1
Tropical Dry Forest & Woodland,Suriname,NA,NA,NA,NA,0.006,1,0.001,1,0.008,1
Tropical Dry Forest & Woodland,Brazil,0.399,1,NA,NA,0.176,1,0.475,1,0.425,1
Tropical Dry Forest & Woodland,Argentina,0.087,1,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Bolivia,0.51,1,NA,NA,0.018,1,0.193,1,0.017,1
Tropical Dry Forest & Woodland,Paraguay,0.167,1,NA,NA,0.312,1,0.573,1,0.169,1
